  x,y,z,rho,u,v,w,p
     0.000000,      0.000000,      0.000000,      1.036864,    163.321152,      0.008092,      0.000000,  85354.531250
     0.169490,      0.000000,      0.000000,      1.036887,    163.288513,      0.011551,      0.000000,  85357.140625
     0.338980,      0.000000,      0.000000,      1.036969,    163.230759,      0.014554,      0.000000,  85366.625000
     0.508470,      0.000000,      0.000000,      1.037105,    163.130768,      0.015715,      0.000000,  85382.359375
     0.677970,      0.000000,      0.000000,      1.037320,    162.988068,      0.018110,      0.000000,  85407.062500
     0.847460,      0.000000,      0.000000,      1.037593,    162.791656,      0.021863,      0.000000,  85438.703125
     1.016950,      0.000000,      0.000000,      1.037972,    162.538834,      0.026684,      0.000000,  85482.179688
     1.186440,      0.000000,      0.000000,      1.038434,    162.206360,      0.033579,      0.000000,  85535.648438
     1.355930,      0.000000,      0.000000,      1.039049,    161.791519,      0.042655,      0.000000,  85606.632812
     1.525420,      0.000000,      0.000000,      1.039791,    161.252090,      0.055286,      0.000000,  85692.054688
     1.694920,      0.000000,      0.000000,      1.040774,    160.581711,      0.072398,      0.000000,  85805.656250
     1.864410,      0.000000,      0.000000,      1.041957,    159.703171,      0.097414,      0.000000,  85942.117188
     2.033900,      0.000000,      0.000000,      1.043556,    158.599854,      0.134275,      0.000000,  86126.687500
     2.203390,      0.000000,      0.000000,      1.045502,    157.115234,      0.197618,      0.000000,  86351.617188
     2.372880,      0.000000,      0.000000,      1.048202,    155.184616,      0.290836,      0.000000,  86663.890625
     2.542370,      0.000000,      0.000000,      1.051661,    152.463409,      0.536847,      0.000000,  87064.648438
     2.711860,      0.000000,      0.000000,      1.056879,    148.620102,      0.958275,      0.000000,  87669.304688
     2.881360,      0.000000,      0.000000,      1.064245,    141.900620,      1.944535,      0.000000,  88523.382812
     3.050850,      0.000800,      0.000000,      1.076247,    132.491043,      6.353477,      0.000000,  89917.562500
     3.220340,      0.014820,      0.000000,      1.084898,    127.296692,     16.031118,      0.000000,  90929.023438
     3.389830,      0.045420,      0.000000,      1.081300,    128.771240,     28.212490,      0.000000,  90518.296875
     3.559320,      0.090440,      0.000000,      1.070924,    134.274582,     39.750706,      0.000000,  89311.460938
     3.728810,      0.146700,      0.000000,      1.055512,    143.348267,     50.037304,      0.000000,  87525.039062
     3.898310,      0.210230,      0.000000,      1.033906,    156.340439,     58.971233,      0.000000,  85039.015625
     4.067800,      0.276570,      0.000000,      1.005108,    173.548141,     65.716110,      0.000000,  81756.335938
     4.237290,      0.341040,      0.000000,      0.968666,    195.007095,     69.024612,      0.000000,  77653.367188
     4.406780,      0.399090,      0.000000,      0.924763,    220.202042,     67.407967,      0.000000,  72787.085938
     4.576270,      0.446640,      0.000000,      0.875403,    247.513062,     59.260311,      0.000000,  67418.164062
     4.745760,      0.480330,      0.000000,      0.826289,    273.439514,     43.277828,      0.000000,  62185.714844
     4.915250,      0.497790,      0.000000,      0.789799,    291.452423,     19.411854,      0.000000,  58365.277344
     5.084750,      0.497790,      0.000000,      0.783644,    292.560547,     -9.574464,      0.000000,  57744.164062
     5.254240,      0.480330,      0.000000,      0.814029,    274.070435,    -37.139645,      0.000000,  60993.640625
     5.423730,      0.446640,      0.000000,      0.864440,    245.314957,    -56.793610,      0.000000,  66425.906250
     5.593220,      0.399090,      0.000000,      0.915507,    216.111649,    -66.804199,      0.000000,  72015.101562
     5.762710,      0.341040,      0.000000,      0.960002,    190.109818,    -68.968292,      0.000000,  76975.171875
     5.932200,      0.276570,      0.000000,      0.996645,    168.405060,    -65.681984,      0.000000,  81125.929688
     6.101700,      0.210230,      0.000000,      1.025319,    151.245544,    -58.863010,      0.000000,  84416.734375
     6.271190,      0.146700,      0.000000,      1.046971,    138.414154,    -49.884335,      0.000000,  86926.468750
     6.440680,      0.090440,      0.000000,      1.062328,    129.500931,    -39.674973,      0.000000,  88720.101562
     6.610170,      0.045420,      0.000000,      1.072157,    124.370644,    -28.850573,      0.000000,  89874.398438
     6.779660,      0.014820,      0.000000,      1.076142,    123.385361,    -17.651144,      0.000000,  90346.867188
     6.949150,      0.000800,      0.000000,      1.073205,    128.354172,     -7.374042,      0.000000,  90017.820312
     7.118640,      0.000000,      0.000000,      1.061180,    137.647598,     -1.050149,      0.000000,  88627.429688
     7.288140,      0.000000,      0.000000,      1.049781,    144.468933,      0.512618,      0.000000,  87298.351562
     7.457630,      0.000000,      0.000000,      1.045468,    147.814957,      0.143994,      0.000000,  86795.710938
     7.627120,      0.000000,      0.000000,      1.042293,    150.350632,      0.022818,      0.000000,  86426.968750
     7.796610,      0.000000,      0.000000,      1.039718,    152.268158,      0.078216,      0.000000,  86127.421875
     7.966100,      0.000000,      0.000000,      1.037667,    153.740753,      0.058065,      0.000000,  85888.953125
     8.135590,      0.000000,      0.000000,      1.036163,    154.865875,      0.024513,      0.000000,  85713.789062
     8.305090,      0.000000,      0.000000,      1.034958,    155.763596,      0.012412,      0.000000,  85573.187500
     8.474580,      0.000000,      0.000000,      1.033985,    156.485962,      0.007187,      0.000000,  85459.570312
     8.644070,      0.000000,      0.000000,      1.033192,    157.071548,      0.000789,      0.000000,  85366.960938
     8.813560,      0.000000,      0.000000,      1.032550,    157.553101,     -0.004356,      0.000000,  85291.859375
     8.983050,      0.000000,      0.000000,      1.032012,    157.952286,     -0.007497,      0.000000,  85228.835938
     9.152540,      0.000000,      0.000000,      1.031569,    158.291565,     -0.010165,      0.000000,  85176.789062
     9.322030,      0.000000,      0.000000,      1.031180,    158.579529,     -0.012327,      0.000000,  85131.179688
     9.491530,      0.000000,      0.000000,      1.030863,    158.836548,     -0.013754,      0.000000,  85093.125000
     9.661020,      0.000000,      0.000000,      1.030544,    159.061737,     -0.014488,      0.000000,  85056.875000
     9.830510,      0.000000,      0.000000,      1.030313,    159.276291,     -0.013008,      0.000000,  85027.429688
    10.000000,      0.000000,      0.000000,      1.030281,    159.437195,     -0.011089,      0.000000,  85017.367188
     0.000000,      0.157895,      0.000000,      1.036835,    163.347992,      0.010463,      0.000000,  85351.148438
     0.169490,      0.157895,      0.000000,      1.036860,    163.315491,      0.028474,      0.000000,  85354.062500
     0.338980,      0.157895,      0.000000,      1.036947,    163.262009,      0.055340,      0.000000,  85364.140625
     0.508470,      0.157895,      0.000000,      1.037080,    163.168472,      0.084099,      0.000000,  85379.492188
     0.677970,      0.157895,      0.000000,      1.037290,    163.033951,      0.117152,      0.000000,  85403.648438
     0.847460,      0.157895,      0.000000,      1.037558,    162.846893,      0.156138,      0.000000,  85434.554688
     1.016950,      0.157895,      0.000000,      1.037928,    162.607040,      0.202721,      0.000000,  85477.234375
     1.186440,      0.157895,      0.000000,      1.038379,    162.290985,      0.260289,      0.000000,  85529.289062
     1.355930,      0.157895,      0.000000,      1.038981,    161.897995,      0.331830,      0.000000,  85598.718750
     1.525420,      0.157895,      0.000000,      1.039702,    161.387802,      0.423011,      0.000000,  85681.882812
     1.694920,      0.157895,      0.000000,      1.040659,    160.757217,      0.539944,      0.000000,  85792.343750
     1.864410,      0.157895,      0.000000,      1.041805,    159.935074,      0.694484,      0.000000,  85924.656250
     2.033900,      0.157895,      0.000000,      1.043341,    158.910629,      0.900053,      0.000000,  86102.046875
     2.203390,      0.157895,      0.000000,      1.045203,    157.551651,      1.191971,      0.000000,  86317.320312
     2.372880,      0.157895,      0.000000,      1.047767,    155.816483,      1.591199,      0.000000,  86613.835938
     2.542370,      0.157895,      0.000000,      1.050913,    153.438934,      2.224754,      0.000000,  86978.429688
     2.711860,      0.157895,      0.000000,      1.055496,    150.288971,      3.313820,      0.000000,  87509.773438
     2.881360,      0.157895,      0.000000,      1.061554,    145.487869,      5.238666,      0.000000,  88213.320312
     3.050850,      0.158653,      0.000000,      1.069127,    139.033463,      9.886251,      0.000000,  89099.796875
     3.220340,      0.171935,      0.000000,      1.072814,    135.580017,     18.348431,      0.000000,  89536.757812
     3.389830,      0.200924,      0.000000,      1.068558,    137.115387,     28.481047,      0.000000,  89044.960938
     3.559320,      0.243575,      0.000000,      1.059372,    142.257797,     38.085262,      0.000000,  87978.867188
     3.728810,      0.296874,      0.000000,      1.044832,    150.846497,     46.696495,      0.000000,  86298.117188
     3.898310,      0.357060,      0.000000,      1.024716,    162.858368,     53.923702,      0.000000,  83986.585938
     4.067800,      0.419908,      0.000000,      0.998869,    178.324188,     58.886749,      0.000000,  81041.250000
     4.237290,      0.480985,      0.000000,      0.967499,    197.007172,     60.518753,      0.000000,  77506.156250
     4.406780,      0.535980,      0.000000,      0.931496,    218.168381,     57.644165,      0.000000,  73505.023438
     4.576270,      0.581027,      0.000000,      0.893180,    240.228775,     49.113762,      0.000000,  69318.195312
     4.745760,      0.612944,      0.000000,      0.857144,    260.318573,     34.181438,      0.000000,  65458.496094
     4.915250,      0.629485,      0.000000,      0.831759,    273.784668,     13.379338,      0.000000,  62796.277344
     5.084750,      0.629485,      0.000000,      0.828332,    274.928925,    -10.445457,      0.000000,  62453.820312
     5.254240,      0.612944,      0.000000,      0.850357,    262.123138,    -32.384346,      0.000000,  64799.226562
     5.423730,      0.581027,      0.000000,      0.886587,    241.006638,    -48.274773,      0.000000,  68710.585938
     5.593220,      0.535980,      0.000000,      0.924896,    217.959702,    -57.111000,      0.000000,  72926.429688
     5.762710,      0.480985,      0.000000,      0.960648,    195.998489,    -59.968853,      0.000000,  76931.695312
     5.932200,      0.419908,      0.000000,      0.991923,    176.688004,    -58.250103,      0.000000,  80485.804688
     6.101700,      0.357060,      0.000000,      1.017588,    160.776581,    -53.236595,      0.000000,  83436.304688
     6.271190,      0.296874,      0.000000,      1.037684,    148.478592,    -46.030853,      0.000000,  85766.992188
     6.440680,      0.243575,      0.000000,      1.052275,    139.699875,    -37.461189,      0.000000,  87470.960938
     6.610170,      0.200924,      0.000000,      1.061833,    134.438248,    -28.197773,      0.000000,  88592.687500
     6.779660,      0.171935,      0.000000,      1.065830,    132.786133,    -18.742729,      0.000000,  89063.835938
     6.949150,      0.158653,      0.000000,      1.064115,    135.703461,    -10.239120,      0.000000,  88865.234375
     7.118640,      0.157895,      0.000000,      1.056868,    142.082565,     -4.812409,      0.000000,  88019.734375
     7.288140,      0.157895,      0.000000,      1.050068,    147.211365,     -2.784737,      0.000000,  87224.625000
     7.457630,      0.157895,      0.000000,      1.046310,    150.299500,     -2.130890,      0.000000,  86786.765625
     7.627120,      0.157895,      0.000000,      1.042771,    152.710587,     -1.563202,      0.000000,  86375.320312
     7.796610,      0.157895,      0.000000,      1.040371,    154.428543,     -1.138617,      0.000000,  86096.375000
     7.966100,      0.157895,      0.000000,      1.038442,    155.781509,     -0.881413,      0.000000,  85872.523438
     8.135590,      0.157895,      0.000000,      1.036965,    156.821579,     -0.697058,      0.000000,  85701.242188
     8.305090,      0.157895,      0.000000,      1.035762,    157.647018,     -0.552131,      0.000000,  85561.882812
     8.474580,      0.157895,      0.000000,      1.034807,    158.304230,     -0.441859,      0.000000,  85451.382812
     8.644070,      0.157895,      0.000000,      1.034023,    158.834900,     -0.358992,      0.000000,  85360.726562
     8.813560,      0.157895,      0.000000,      1.033386,    159.268570,     -0.295147,      0.000000,  85287.054688
     8.983050,      0.157895,      0.000000,      1.032848,    159.624527,     -0.245646,      0.000000,  85225.054688
     9.152540,      0.157895,      0.000000,      1.032405,    159.924820,     -0.208183,      0.000000,  85173.937500
     9.322030,      0.157895,      0.000000,      1.032013,    160.177109,     -0.180121,      0.000000,  85129.062500
